鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總樓層數Eng
鳳山區,房地(土地+建物)+車位,高雄市鳳山區環河東街９３巷５號,125.72,住,,,1080317,土地3建物1車位2,全,五層,透天厝,見其他登記事項,見其他登記事項,1070809.0,320.13,5,2,5,有,有,19500000,60913.0,一樓平面,52.2,0,,RPUOMLMJNHOFFGE88CA,246.62,20.64,0.0,,,5.0
鳳山區,房地(土地+建物)+車位,高雄市鳳山區頂新七街27號七樓,27.93,住,,,1080422,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1030210.0,168.64,3,2,2,有,有,7350000,43584.0,坡道平面,23.12,0,,RPROMLMJNHOFFGE58CA,80.56,11.84,0.0,,,12.0
鳳山區,房地(土地+建物)+車位,高雄市鳳山區環河東街９３巷７號,125.72,住,,,1080328,土地3建物1車位2,全,五層,透天厝,見其他登記事項,見其他登記事項,1070809.0,320.13,5,2,5,有,有,19550000,61069.0,一樓平面,52.2,0,,RPSOMLMJNHOFFGE68CA,246.62,20.64,0.0,,,5.0
鳳山區,房地(土地+建物),高雄市鳳山區甲智路１５３巷９號,61.88,住,,,1080327,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,911031.0,125.5,3,1,2,有,無,5350000,42629.0,,0.0,0,,RPVOMLNJNHOFFGE09CA,118.6,6.91,0.0,,,4.0
鳳山區,房地(土地+建物),高雄市鳳山區鳳林路９９之２號五樓之８,6.16,商,,,1080330,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840829.0,78.25,2,1,1,有,有,2000000,25559.0,,0.0,0,,RPWPMLNJNHOFFGE66CA,44.06,14.9,0.0,,,12.0
鳳山區,房地(土地+建物)+車位,高雄市鳳山區瑞竹里中山東路225號八樓之3,30.64,住,,,1080322,土地1建物1車位1,八層,十七層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070424.0,248.76,4,2,2,有,有,14230000,57204.0,坡道平面,0.0,0,,RPSPMLRLNHOFFGE86CA,112.18,26.53,0.0,,,17.0
鳳山區,房地(土地+建物)+車位,高雄市鳳山區瑞竹里中山東路225號十六樓之1,24.74,住,,,1080207,土地1建物1車位1,十六層,十七層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070424.0,200.7,3,2,2,有,有,11630000,57947.0,坡道平面,0.0,0,,RPUPMLRLNHOFFGE07CA,88.6,20.12,0.0,,,17.0
鳳山區,房地(土地+建物),高雄市鳳山區新樂街６６之１號,26.42,住,,,1080409,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,701125.0,75.99,3,1,2,有,無,2500000,32899.0,,0.0,0,,RPWNMLTLNHOFFGE27CA,75.99,0.0,0.0,,,5.0
鳳山區,房地(土地+建物),高雄市鳳山區七聖街１５１號二樓,17.47,住,,,1080216,土地1建物1車位0,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,820830.0,105.18,3,2,2,有,有,3660000,34797.0,,0.0,0,,RPXOMLQJNHOFFGE96CA,69.86,13.89,0.0,,,8.0
鳳山區,房地(土地+建物),高雄市鳳山區新泰街９號,35.65,住,,,1080325,土地1建物1車位0,一層，二層，三層,十層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,830816.0,198.49,4,2,3,有,無,8480000,42723.0,,0.0,0,,RPTNMLKKNHOFFGE58CA,141.42,42.43,0.0,,,10.0
