鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總樓層數Eng
桃園區,房地(土地+建物)+車位,桃園市桃園區國聖二街６號９樓,38.73,住,,,1071228,土地1建物1車位2,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,880902.0,253.88,4,2,2,有,有,16680000,65700.0,坡道平面,32.3,0,,RPSQMLNLNHOFFAH09EA,125.01,0.5,18.11,,,15.0
中壢區,房地(土地+建物),桃園市中壢區興安街６巷１號,41.0,住,,,1071227,土地1建物1車位0,一層，騎樓,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,680706.0,88.88,0,0,0,無,無,3800000,42754.0,,0.0,0,,RPVQMLMLKHOFFBH09EA,88.88,0.0,0.0,,,3.0
中壢區,房地(土地+建物),桃園市中壢區福州路７０號五樓之１,26.2,住,,,1071228,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,770606.0,91.43,2,2,0,有,無,2415000,26414.0,,0.0,0,,RPWQMLMLKHOFFBH56EA,71.94,0.0,8.09,,,5.0
中壢區,房地(土地+建物),桃園市中壢區福州路７０號五樓之２,26.2,住,,,1071210,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,770606.0,91.43,2,2,2,有,無,2380000,26031.0,,0.0,0,,RPXQMLMLKHOFFBH66EA,71.94,0.0,8.09,,,5.0
桃園區,房地(土地+建物),桃園市桃園區泰昌八街15號八樓之一,14.87,商,,,1080123,土地1建物1車位0,八層,二十二層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,820430.0,168.89,3,2,2,有,有,7060000,41802.0,,0.0,0,,RPTNMLNLNHOFFAH88EA,117.25,0.24,15.61,,,22.0
桃園區,房地(土地+建物),桃園市桃園區復興路49之1號八樓之1,4.91,商,,,1071231,土地1建物1車位0,八層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,931015.0,64.43,1,1,1,有,有,3000000,46555.0,,0.0,0,,RPPNMLKMNHOFFAH28EA,33.47,0.0,9.91,,,12.0
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路１８６號八樓,27.88,住,,,1070623,土地1建物1車位1,八層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071203.0,181.51,3,2,2,有,有,11300000,65993.0,坡道平面,33.01,1500000,,RPXPMLKKMHOFFBH09EA,89.83,3.13,8.81,,,21.0
桃園區,房地(土地+建物)+車位,桃園市桃園區中山路１２１６巷１０６號二樓,30.26,住,,,1080127,土地4建物1車位2,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960822.0,219.38,4,2,2,有,有,9200000,41936.0,其他,0.0,0,,RPSNMLPLKHOFFAH68EA,100.19,4.26,6.88,,,13.0
龍潭區,房地(土地+建物),桃園市龍潭區中興路３３６巷９２弄１０之１號,29.85,,鄉村區,乙種建築用地,1080211,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,810304.0,80.89,3,1,1,有,無,613245,7582.0,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPSOMLQLKHOFFCH09EA,69.6,0.0,8.85,,,4.0
八德區,房地(土地+建物)+車位,桃園市八德區廣興二路１號４樓之３,22.17,商,,,1080120,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030120.0,162.4,3,2,2,有,有,7000000,46242.0,坡道平面,34.81,1100000,,RPRNMLQLKHOFFFH09DA,76.71,2.66,8.49,,,15.0
八德區,房地(土地+建物)+車位,桃園市八德區國豐五街２６號７樓,22.41,住,,,1080110,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001117.0,161.31,3,2,2,有,有,8580000,58242.0,坡道平面,32.88,1100000,含增建或未登記建物。,RPPNMLLJLHOFFFH28DA,78.57,1.09,8.68,,,12.0
觀音區,房地(土地+建物),桃園市觀音區泰安街77號三樓,27.0,,工業區,丁種建築用地,1080125,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,950601.0,90.85,3,2,1,有,無,3300000,36324.0,,0.0,0,,RPXTMLMLKHOFFBH86DA,74.1,1.34,7.64,,,5.0
中壢區,房地(土地+建物),桃園市中壢區中北路二段４３７巷２６號,70.0,其他,,,1080115,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,790104.0,244.98,6,3,3,有,無,11100000,45310.0,,0.0,0,含增建或未登記建物。,RPVOMLPLKHOFFBH09DA,225.08,11.03,8.87,,,4.0
中壢區,房地(土地+建物),桃園市中壢區西園路6-9號15樓,35.71,住,,,1080201,土地2建物1車位0,十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,831012.0,187.57,4,2,2,有,無,6780000,36147.0,,0.0,0,,RPXOMLKLLHOFFBH88DA,134.74,0.57,15.98,,,16.0
桃園區,車位,桃園市桃園區東國街89號5樓,5.65,其他,,,1080130,土地0建物0車位2,五層,八層,其他,見其他登記事項,鋼筋混凝土造,810926.0,63.06,0,0,0,有,有,1300000,,升降平面,63.06,1300000,,RPOPMLNLKHOFFAH18DA,0.0,0.0,0.0,,,8.0
桃園區,房地(土地+建物)+車位,桃園市桃園區慈光街１０１巷２５號３樓,13.53,住,,,1071223,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,891205.0,141.02,3,2,2,有,有,8400000,59566.0,坡道平面,0.0,1000000,含增建或未登記建物。,RPVPMLPLKHOFFAH09DA,78.33,1.97,9.85,,,12.0
桃園區,房地(土地+建物),桃園市桃園區龍安街１６７之５號２樓,11.69,住,,,1080118,土地1建物1車位0,二層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,911224.0,108.19,3,2,2,有,有,5630000,52038.0,,0.0,0,含增建或未登記建物。；,RPVPMLOJLHOFFAH88DA,71.55,1.89,7.66,,,10.0
龜山區,房地(土地+建物)+車位,桃園市龜山區明興街１１４巷１３弄６號五樓,56.55,住,,,1080117,土地3建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1031201.0,175.12,3,2,2,有,有,8500000,48538.0,坡道平面,0.0,0,,RPUNMLNKLHOFFHH56CA,100.69,0.0,6.69,,,5.0
龜山區,房地(土地+建物),桃園市龜山區民安街９３巷６弄１３號,67.81,住,,,1070916,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,630401.0,111.04,5,3,3,有,無,8000000,72046.0,,0.0,0,含增建或未登記建物。；,RPRNMLNLKHOFFHH88CA,111.04,0.0,0.0,,,2.0
龜山區,房地(土地+建物),桃園市龜山區宏慶街２５號五樓,22.77,住,,,1080212,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,740711.0,79.62,3,2,1,有,無,5100000,64054.0,,0.0,0,含增建或未登記建物。；,RPPOMLNLKHOFFHH78CA,73.62,0.0,6.0,,,5.0
龜山區,房地(土地+建物)+車位,桃園市龜山區萬壽路二段１４３３號７樓,23.73,住,,,1061004,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071026.0,155.8,3,2,2,有,無,10760000,71974.0,坡道平面,31.31,1800000,,RPTNMLSJLHOFFHH86CA,75.1,3.47,7.31,,,15.0
