鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總樓層數Eng
士林區,房地(土地+建物),臺北市士林區天母北路91號6樓,21.12,住,,,1080109,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,740819.0,150.48,4,2,2,有,無,21660000,143939.0,,0.0,0,含增建或未登記建物。；,RPROMLLKKHOFFEA67CA,120.75,0.0,7.3,,,7.0
士林區,房地(土地+建物)+車位,臺北市士林區忠誠路一段18號9樓之2,45.26,住,,,1071215,土地2建物1車位4,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,941228.0,441.94,5,2,3,有,有,125000000,289600.0,坡道機械,44.84,10000000,含增建或未登記建物。；,RPXOMLLKKHOFFEA28CA,261.61,5.37,22.97,,,14.0
北投區,房地(土地+建物)+車位,臺北市北投區光明路151巷8號2樓,16.21,商,,,1071027,土地1建物1車位1,二層,二十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030530.0,218.2,4,2,2,有,有,33300000,152612.0,坡道平面,41.24,0,,RPUNMLNKKHOFFEA08CA,100.21,7.16,12.76,,,27.0
北投區,車位,臺北市北投區復興二路６０巷１、３、５、７號門牌房屋地下層,6.36,住,,,1080114,土地0建物0車位1,地下層,十二層,其他,見使用執照,鋼筋混凝土造,840321.0,30.94,0,0,0,有,無,1600000,,坡道平面,0.0,1600000,,RPQNMLOKKHOFFEA77CA,0.0,0.0,0.0,,,12.0
士林區,房地(土地+建物),臺北市士林區基河路２２號四樓之２,15.72,住,,,1071114,土地1建物1車位0,四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,971126.0,82.44,1,1,1,有,有,20850000,252911.0,,0.0,0,含增建或未登記建物。；,RPXNMLOKKHOFFEA48CA,46.83,0.3,6.61,,,18.0
士林區,房地(土地+建物)+車位,臺北市士林區天母北路９巷８號五樓,26.2,商,,,1080102,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1060428.0,116.03,2,2,2,有,有,29140000,269596.0,其他,14.99,1900000,,RPUOMLOKKHOFFEA28CA,60.39,5.0,3.97,,,7.0
北投區,房地(土地+建物)+車位,臺北市北投區行義路１７０巷２７弄３號二樓,88.29,住,,,1071112,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020730.0,210.37,3,2,2,有,有,35500000,168750.0,坡道平面,29.55,0,,RPPQMLLLLHOFFEA87CA,105.95,4.54,16.16,,,5.0
大安區,房地(土地+建物),臺北市大安區信義路四段199巷28號7樓之1,24.64,住,,,1080104,土地2建物1車位0,七層，陽台,七層,華廈(10層含以下有電梯),,鋼筋混凝土造,,135.69,3,2,2,有,有,33390000,246076.0,,0.0,0,,RPSNMLMKKHOFFFA87CA,113.87,0.0,0.0,,,7.0
大安區,房地(土地+建物),臺北市大安區和平東路三段1巷72弄7號2樓,19.94,住,,,1071227,土地1建物1車位0,二層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,740522.0,103.16,3,2,1,有,有,18280000,177200.0,,0.0,0,含增建或未登記建物。；,RPTNMLMKKHOFFFA97CA,75.58,1.26,7.07,,,17.0
大安區,房地(土地+建物)+車位,臺北市大安區信義路四段２６５巷５弄6號6樓,30.02,住,,,1071221,土地2建物2車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,730223.0,163.91,2,2,2,有,有,36000000,219633.0,坡道平面,0.0,0,含增建或未登記建物。；,RPRNMLOKKHOFFFA97CA,142.56,0.0,12.18,,,7.0
大安區,房地(土地+建物)+車位,臺北市大安區羅斯福路三段３０９號十樓之２,13.55,商,,,1071223,土地2建物1車位1,十層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020103.0,185.88,2,2,1,有,有,50800000,273295.0,坡道平面,35.35,0,,RPQOMLOKKHOFFFA97CA,86.67,0.0,14.84,,,19.0
大安區,房地(土地+建物),臺北市大安區仁愛路四段３４５巷４弄８號三樓,30.12,住,,,1080115,土地1建物1車位0,三層，陽台,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,138.6,3,2,2,有,有,33100000,238817.0,,0.0,0,,RPPNMLRJLHOFFFA08CA,129.84,0.0,0.0,,,7.0
文山區,房地(土地+建物)+車位,臺北市文山區萬美街二段５７號７樓,49.59,住,,,1080110,土地1建物1車位2,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840830.0,179.38,4,2,1,有,有,14350000,79998.0,坡道機械,0.0,1600000,含增建或未登記建物。,RPWNMLOKKHOFFAA08DA,139.52,0.7,10.03,,,11.0
文山區,房地(土地+建物),臺北市文山區保儀路109巷3弄7號4樓,8.56,住,,,1080211,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,661115.0,24.19,4,2,1,有,無,1463100,60484.0,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPWNMLPJLHOFFAA18DA,22.08,0.0,2.11,,,4.0
大同區,房地(土地+建物),臺北市大同區重慶北路二段１９６號１０樓之１１及之１３,7.14,商,,,1071201,土地1建物2車位0,十層,十二層,辦公商業大樓,住家用,鋼筋混凝土造,731116.0,85.63,2,2,1,有,有,11510000,134416.0,,0.0,0,含增建或未登記建物。,RPTOMLOKKHOFFBA97DA,62.77,0.0,0.0,,,12.0
大同區,房地(土地+建物)+車位,臺北市大同區承德路二段６９號１１樓之２,15.91,商,,,1080105,土地2建物1車位1,十一層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060925.0,197.07,3,2,2,有,有,45180000,264590.0,坡道平面,36.52,2700000,,RPPOMLPKKHOFFBA67DA,99.27,2.7,10.72,,,18.0
內湖區,房地(土地+建物),臺北市內湖區成功路五段４０號１１樓,29.04,商,,,1071207,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840725.0,165.35,3,2,1,有,有,26200000,158452.0,,0.0,0,含增建或未登記建物。,RPQOMLMKKHOFFCA57DA,99.87,0.0,11.37,,,15.0
南港區,房地(土地+建物)+車位,臺北市南港區經貿二路１５７巷３６弄１０１號１０樓,15.52,住,,,1071210,土地1建物1車位1,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020812.0,103.65,2,2,1,有,有,22300000,215147.0,其他,0.0,1800000,,RPXNMLOKKHOFFDA48DA,54.06,0.0,5.09,,,11.0
大安區,房地(土地+建物),臺北市大安區敦化南路二段５５巷６號３樓,18.89,其他,,,1071229,土地2建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,700311.0,110.8,3,2,2,有,有,28100000,253610.0,,0.0,0,含增建或未登記建物。,RPUNMLPKKHOFFFA48DA,73.65,0.0,19.1,,,7.0
