鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總樓層數Eng
樹林區,房地(土地+建物)+車位,新北市樹林區柑園街二段３４２巷３０號二樓,34.96,,特定農業區,甲種建築用地,1080316,土地1建物1車位1,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,840104.0,131.24,3,2,2,有,無,5200000,39622.0,坡道平面,0.0,0,,RPPNMLNJMHOFFIF58CA,87.53,1.17,8.61,,,5.0
樹林區,房地(土地+建物)+車位,新北市樹林區中山路二段４６之２號四樓,12.45,住,,,1080220,土地1建物1車位1,四層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071211.0,111.34,2,2,1,有,有,9200000,97294.0,坡道平面,33.74,1650000,,RPQNMLNJMHOFFIF68CA,47.28,0.0,4.07,,,20.0
樹林區,房地(土地+建物)+車位,新北市樹林區中山路二段４６之２號七樓,12.45,住,,,1080220,土地1建物1車位1,七層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071211.0,115.29,2,2,1,有,有,8800000,88289.0,坡道平面,33.74,1600000,,RPRNMLNJMHOFFIF78CA,47.28,3.95,4.07,,,20.0
樹林區,房地(土地+建物)+車位,新北市樹林區中山路二段４６之２號八樓,12.45,住,,,1080220,土地1建物1車位1,八層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071211.0,115.29,2,2,1,有,有,9750000,95034.0,坡道平面,33.74,2000000,,RPSNMLNJMHOFFIF88CA,47.28,3.95,4.07,,,20.0
樹林區,房地(土地+建物),新北市樹林區中山路二段４６之２號十一樓,11.88,住,,,1080220,土地1建物1車位0,十一層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071211.0,81.55,2,2,1,有,有,7500000,91968.0,,0.0,0,,RPTNMLNJMHOFFIF98CA,47.28,3.95,4.07,,,20.0
樹林區,房地(土地+建物),新北市樹林區中山路二段４６之２號十三樓,11.88,住,,,1080220,土地1建物1車位0,十三層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071211.0,81.55,2,2,1,有,有,7410000,90865.0,,0.0,0,,RPUNMLNJMHOFFIF09CA,47.28,3.95,4.07,,,20.0
樹林區,房地(土地+建物),新北市樹林區中山路二段４６之２號十四樓,11.88,住,,,1080220,土地1建物1車位0,十四層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071211.0,81.55,2,2,1,有,有,7460000,91478.0,,0.0,0,,RPVNMLNJMHOFFIF56CA,47.28,3.95,4.07,,,20.0
樹林區,房地(土地+建物),新北市樹林區中山路二段４６之２號十六樓,11.88,住,,,1080220,土地1建物1車位0,十六層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071211.0,81.55,2,2,1,有,有,7600000,93194.0,,0.0,0,,RPWNMLNJMHOFFIF66CA,47.28,3.95,4.07,,,20.0
樹林區,房地(土地+建物)+車位,新北市樹林區中山路二段４６之２號十七樓,12.45,住,,,1080220,土地1建物1車位1,十七層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071211.0,115.29,2,2,1,有,有,9080000,89270.0,坡道平面,33.74,1800000,,RPXNMLNJMHOFFIF76CA,47.28,3.95,4.07,,,20.0
樹林區,房地(土地+建物),新北市樹林區中山路二段４６之２號十八樓,11.88,住,,,1080220,土地1建物1車位0,十八層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071211.0,81.55,2,2,1,有,有,7450000,91355.0,,0.0,0,,RPOOMLNJMHOFFIF58CA,47.28,3.95,4.07,,,20.0
樹林區,房地(土地+建物),新北市樹林區中山路二段４６之２號十九樓,11.88,住,,,1080220,土地1建物1車位0,十九層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071211.0,81.55,2,2,1,有,有,7600000,93194.0,,0.0,0,,RPPOMLNJMHOFFIF68CA,47.28,3.95,4.07,,,20.0
樹林區,房地(土地+建物)+車位,新北市樹林區中山路二段４６之３號二十一樓,25.62,住,,,1080220,土地1建物1車位2,二十一層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071211.0,230.61,4,2,2,有,有,18760000,99982.0,坡道平面,67.48,2450000,,RPQOMLNJMHOFFIF78CA,97.08,3.85,8.14,,,22.0
樹林區,房地(土地+建物)+車位,新北市樹林區中山路二段４６之３號五樓,21.35,住,,,1080220,土地1建物1車位1,五層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071211.0,174.29,3,2,2,有,有,14670000,91925.0,坡道平面,33.74,1750000,,RPROMLNJMHOFFIF88CA,82.65,3.85,8.14,,,22.0
樹林區,房地(土地+建物),新北市樹林區中山路二段４６之５號二樓,14.2,住,,,1080220,土地1建物1車位0,二層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071211.0,92.64,2,2,1,有,有,8800000,94991.0,,0.0,0,,RPSOMLNJMHOFFIF98CA,56.5,0.0,4.75,,,21.0
樹林區,房地(土地+建物),新北市樹林區中山路二段４６之５號三樓,14.2,住,,,1080220,土地1建物1車位0,三層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071211.0,99.7,2,2,1,有,有,9200000,92277.0,,0.0,0,,RPTOMLNJMHOFFIF09CA,56.5,7.06,4.75,,,21.0
樹林區,房地(土地+建物)+車位,新北市樹林區中山路二段４６之５號四樓,14.77,住,,,1080220,土地1建物1車位1,四層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071211.0,133.44,2,2,1,有,有,10650000,91775.0,坡道平面,33.74,1500000,,RPUOMLNJMHOFFIF56CA,56.5,7.06,4.75,,,21.0
